,Municipality ID,Municipality,Year,Poverty,Extreme Poverty,Moderate Poverty,Population No Vulnerable,Educational Backwardness,Deprivation Quality Housing Spaces,Deprivation Health Services,Deprivation Social Security,Deprivation Basic Services Housing,Deprivation Food Access,Population with at least 1 Social Lack,Population with at least 3 Social Lacks,Income below Welfare Line,Income below Min Welfare Line
38,26013,Banámichi,2020,376.0,21.0,355.0,572.0,280.0,78.0,155.0,982.0,13.0,143.0,1222.0,72.0,526.0,148.0
39,26014,Baviácora,2010,1072.0,53.0,1019.0,690.0,833.0,211.0,1003.0,2042.0,126.0,280.0,2607.0,388.0,1317.0,426.0
40,26014,Baviácora,2015,531.0,25.0,506.0,739.0,652.0,214.0,347.0,2188.0,128.0,205.0,2640.0,190.0,595.0,157.0
41,26014,Baviácora,2020,532.0,18.0,513.0,729.0,610.0,132.0,428.0,2137.0,75.0,390.0,2602.0,197.0,600.0,164.0
42,26015,Bavispe,2010,540.0,29.0,511.0,67.0,383.0,130.0,560.0,1251.0,81.0,23.0,1364.0,230.0,557.0,200.0
43,26015,Bavispe,2015,688.0,53.0,635.0,114.0,389.0,135.0,317.0,1260.0,60.0,24.0,1367.0,167.0,720.0,289.0
44,26015,Bavispe,2020,720.0,89.0,631.0,59.0,259.0,60.0,695.0,1047.0,24.0,93.0,1158.0,203.0,748.0,379.0
45,26016,Benjamín Hill,2010,1972.0,279.0,1693.0,1330.0,1073.0,739.0,803.0,2444.0,444.0,613.0,3368.0,707.0,2766.0,1011.0
46,26016,Benjamín Hill,2015,1698.0,126.0,1572.0,1699.0,906.0,335.0,359.0,2251.0,314.0,869.0,3150.0,425.0,2290.0,651.0
47,26016,Benjamín Hill,2020,1656.0,175.0,1481.0,1617.0,845.0,311.0,271.0,2170.0,170.0,868.0,2928.0,386.0,2423.0,859.0
48,26017,Caborca,2010,25159.0,2921.0,22239.0,19798.0,14220.0,8643.0,20065.0,43630.0,10286.0,13737.0,53893.0,13766.0,30779.0,7650.0
49,26017,Caborca,2015,28230.0,2768.0,25461.0,22633.0,16016.0,9674.0,15385.0,42525.0,7461.0,23765.0,59746.0,14585.0,35307.0,8490.0
50,26017,Caborca,2020,29884.0,3426.0,26459.0,26398.0,16800.0,7049.0,26067.0,47320.0,11469.0,16338.0,61016.0,16641.0,37776.0,10237.0
51,26018,Cajeme,2010,113422.0,11712.0,101709.0,140241.0,58356.0,25611.0,76420.0,144205.0,11181.0,107326.0,235284.0,45167.0,147901.0,34547.0
52,26018,Cajeme,2015,128158.0,8935.0,119224.0,152652.0,46583.0,26363.0,53740.0,132332.0,16356.0,97412.0,231623.0,32924.0,189583.0,44809.0
53,26018,Cajeme,2020,132854.0,12453.0,120401.0,156075.0,44505.0,19601.0,74019.0,139074.0,14379.0,108398.0,236080.0,39585.0,199638.0,53517.0
54,26019,Cananea,2010,13115.0,729.0,12386.0,6532.0,3720.0,1147.0,6267.0,23971.0,2670.0,2495.0,26973.0,2432.0,15750.0,4040.0
55,26019,Cananea,2015,9480.0,309.0,9171.0,12189.0,3378.0,2137.0,2652.0,14397.0,1842.0,4673.0,20376.0,1575.0,13292.0,2737.0
56,26019,Cananea,2020,10649.0,816.0,9832.0,12359.0,3410.0,1662.0,3289.0,13583.0,2610.0,5908.0,19812.0,2275.0,15974.0,4807.0
57,26020,Carbó,2010,1791.0,335.0,1456.0,323.0,1032.0,719.0,1102.0,2563.0,329.0,942.0,2968.0,993.0,1995.0,900.0
58,26020,Carbó,2015,2129.0,231.0,1898.0,801.0,1160.0,610.0,806.0,3406.0,471.0,977.0,3973.0,857.0,2386.0,656.0
59,26020,Carbó,2020,2439.0,256.0,2182.0,758.0,1241.0,577.0,1072.0,3663.0,238.0,680.0,4157.0,749.0,2792.0,1036.0
60,26021,La Colorada,2010,350.0,28.0,322.0,204.0,565.0,185.0,620.0,1013.0,349.0,67.0,1408.0,371.0,376.0,104.0
61,26021,La Colorada,2015,509.0,52.0,456.0,427.0,616.0,200.0,402.0,1074.0,395.0,235.0,1661.0,308.0,578.0,166.0
62,26021,La Colorada,2020,401.0,27.0,373.0,478.0,531.0,206.0,312.0,909.0,186.0,168.0,1391.0,211.0,500.0,148.0
63,26022,Cucurpe,2010,369.0,39.0,331.0,76.0,313.0,84.0,214.0,713.0,230.0,82.0,850.0,215.0,391.0,148.0
64,26022,Cucurpe,2015,191.0,9.0,182.0,176.0,271.0,45.0,107.0,649.0,75.0,79.0,801.0,86.0,216.0,57.0
65,26022,Cucurpe,2020,327.0,15.0,311.0,158.0,232.0,17.0,150.0,595.0,59.0,11.0,704.0,66.0,383.0,150.0
66,26023,Cumpas,2010,1496.0,69.0,1427.0,1675.0,962.0,224.0,738.0,2971.0,275.0,413.0,3636.0,385.0,1971.0,606.0
67,26023,Cumpas,2015,1454.0,49.0,1405.0,2175.0,845.0,163.0,189.0,2817.0,275.0,584.0,3567.0,233.0,2063.0,574.0
68,26023,Cumpas,2020,1194.0,36.0,1158.0,2235.0,715.0,523.0,74.0,2661.0,88.0,500.0,3443.0,172.0,1725.0,426.0
69,26024,Divisaderos,2010,291.0,25.0,266.0,135.0,149.0,67.0,152.0,552.0,82.0,129.0,632.0,127.0,337.0,110.0
70,26024,Divisaderos,2015,169.0,11.0,158.0,142.0,148.0,26.0,62.0,517.0,68.0,140.0,590.0,92.0,181.0,48.0
71,26024,Divisaderos,2020,268.0,12.0,256.0,132.0,121.0,25.0,26.0,547.0,33.0,91.0,628.0,29.0,311.0,124.0
72,26025,Empalme,2010,20443.0,3024.0,17419.0,14049.0,7442.0,9095.0,10295.0,25259.0,10101.0,22042.0,37753.0,12921.0,24778.0,6329.0
73,26025,Empalme,2015,16797.0,1370.0,15427.0,18739.0,8057.0,6101.0,6800.0,19560.0,3844.0,16317.0,34975.0,6643.0,22423.0,5024.0
74,26025,Empalme,2020,19759.0,3018.0,16740.0,15933.0,7605.0,5218.0,11117.0,19757.0,6372.0,17683.0,33028.0,9742.0,26671.0,8468.0
75,26026,Etchojoa,2010,37292.0,10509.0,26784.0,5877.0,10700.0,26143.0,16705.0,43448.0,37670.0,42789.0,56493.0,38361.0,39462.0,13219.0
76,26026,Etchojoa,2015,30073.0,6813.0,23260.0,6220.0,9003.0,15922.0,6994.0,35058.0,32533.0,21977.0,49820.0,23375.0,33913.0,12662.0
77,26026,Etchojoa,2020,41791.0,11122.0,30668.0,7793.0,10314.0,18609.0,11094.0,41637.0,41611.0,34924.0,62183.0,30817.0,44940.0,17705.0
78,26027,Fronteras,2010,3007.0,478.0,2529.0,2260.0,1577.0,947.0,2637.0,3574.0,408.0,1207.0,5062.0,1314.0,5062.0,2074.0
79,26027,Fronteras,2015,2169.0,180.0,1989.0,3630.0,1078.0,575.0,795.0,2586.0,413.0,900.0,3907.0,540.0,3638.0,982.0
80,26027,Fronteras,2020,2564.0,221.0,2343.0,2754.0,1338.0,602.0,1629.0,4080.0,263.0,1366.0,5488.0,792.0,3952.0,1317.0
81,26028,Granados,2010,312.0,12.0,300.0,226.0,235.0,80.0,203.0,756.0,12.0,52.0,870.0,81.0,366.0,115.0
82,26028,Granados,2015,96.0,1.0,95.0,326.0,168.0,30.0,83.0,662.0,4.0,35.0,767.0,26.0,108.0,24.0
83,26028,Granados,2020,243.0,6.0,236.0,244.0,181.0,20.0,160.0,679.0,1.0,58.0,781.0,50.0,293.0,91.0
84,26029,Guaymas,2010,46129.0,8450.0,37679.0,53489.0,17559.0,25154.0,20437.0,56052.0,28471.0,68061.0,96244.0,34031.0,53445.0,13485.0
85,26029,Guaymas,2015,51723.0,7263.0,44459.0,54269.0,21781.0,21377.0,19314.0,53012.0,25288.0,55958.0,100350.0,27133.0,65560.0,16061.0
86,26029,Guaymas,2020,55778.0,11135.0,44643.0,52821.0,25360.0,25243.0,36445.0,61542.0,28807.0,45146.0,102168.0,31380.0,72750.0,23343.0
87,26030,Hermosillo,2010,205006.0,26227.0,178779.0,305131.0,89915.0,67453.0,174076.0,324757.0,53086.0,135531.0,439966.0,92552.0,265972.0,63884.0
88,26030,Hermosillo,2015,179475.0,12677.0,166797.0,399142.0,93337.0,52064.0,108213.0,286390.0,41318.0,199174.0,467184.0,72977.0,236780.0,42331.0
89,26030,Hermosillo,2020,221540.0,30073.0,191467.0,418579.0,95822.0,57436.0,207947.0,337433.0,23304.0,169224.0,481859.0,94327.0,309196.0,83502.0
90,26031,Huachinera,2010,425.0,57.0,369.0,94.0,369.0,209.0,351.0,1137.0,240.0,154.0,1243.0,330.0,438.0,165.0
91,26031,Huachinera,2015,383.0,37.0,346.0,112.0,282.0,110.0,150.0,1015.0,380.0,204.0,1152.0,238.0,396.0,118.0
92,26031,Huachinera,2020,550.0,51.0,499.0,109.0,268.0,76.0,187.0,986.0,79.0,201.0,1107.0,141.0,597.0,261.0
93,26032,Huásabas,2010,495.0,38.0,457.0,138.0,199.0,57.0,242.0,583.0,51.0,50.0,706.0,92.0,614.0,327.0
94,26032,Huásabas,2015,108.0,1.0,108.0,271.0,159.0,14.0,113.0,519.0,19.0,14.0,629.0,24.0,131.0,25.0
95,26032,Huásabas,2020,187.0,10.0,177.0,276.0,144.0,24.0,134.0,511.0,19.0,73.0,617.0,45.0,239.0,71.0
96,26033,Huatabampo,2010,50173.0,11649.0,38525.0,9713.0,14882.0,17788.0,17840.0,61867.0,42427.0,62720.0,81630.0,45340.0,52880.0,16474.0
97,26033,Huatabampo,2015,38207.0,6192.0,32015.0,13468.0,12417.0,13447.0,7157.0,47684.0,28760.0,28020.0,64167.0,22206.0,43165.0,12799.0
98,26033,Huatabampo,2020,39369.0,7651.0,31718.0,11792.0,10436.0,12209.0,9885.0,42459.0,17293.0,28799.0,58112.0,17996.0,46678.0,19109.0
99,26034,Huépac,2010,190.0,4.0,186.0,378.0,207.0,32.0,138.0,511.0,32.0,76.0,697.0,52.0,264.0,69.0
100,26034,Huépac,2015,26.0,0.0,26.0,372.0,152.0,25.0,49.0,447.0,3.0,24.0,584.0,9.0,34.0,5.0
101,26034,Huépac,2020,98.0,0.0,98.0,402.0,140.0,11.0,46.0,404.0,4.0,33.0,535.0,12.0,164.0,42.0
102,26035,Imuris,2010,4928.0,680.0,4249.0,1410.0,1924.0,1352.0,4291.0,8130.0,764.0,3382.0,9701.0,2630.0,5492.0,1727.0
103,26035,Imuris,2015,3652.0,226.0,3426.0,2525.0,2303.0,1185.0,2761.0,8471.0,713.0,1984.0,10180.0,1554.0,4040.0,910.0
104,26035,Imuris,2020,4579.0,460.0,4119.0,2291.0,2170.0,1174.0,3588.0,7524.0,430.0,2427.0,9441.0,1861.0,5399.0,1727.0
105,26036,Magdalena,2010,10609.0,998.0,9610.0,7604.0,4880.0,1912.0,7417.0,16311.0,1360.0,4241.0,21420.0,3027.0,13182.0,3437.0
106,26036,Magdalena,2015,9330.0,485.0,8845.0,9438.0,4433.0,2466.0,4382.0,13919.0,623.0,5871.0,20095.0,2311.0,12030.0,2620.0
107,26036,Magdalena,2020,9752.0,830.0,8922.0,10328.0,4245.0,2560.0,7051.0,14740.0,1003.0,6513.0,20785.0,3267.0,12659.0,3398.0
108,26037,Mazatán,2010,268.0,13.0,255.0,265.0,318.0,53.0,482.0,821.0,98.0,59.0,1009.0,192.0,308.0,83.0
109,26037,Mazatán,2015,250.0,11.0,240.0,268.0,256.0,62.0,214.0,781.0,86.0,120.0,976.0,105.0,292.0,66.0
110,26037,Mazatán,2020,354.0,30.0,324.0,182.0,240.0,59.0,468.0,785.0,61.0,31.0,941.0,125.0,404.0,157.0
111,26038,Moctezuma,2010,1540.0,109.0,1430.0,1885.0,980.0,269.0,370.0,2922.0,135.0,294.0,3427.0,312.0,2064.0,675.0
112,26038,Moctezuma,2015,1151.0,32.0,1120.0,1943.0,685.0,148.0,110.0,2351.0,42.0,565.0,2882.0,161.0,1489.0,297.0
113,26038,Moctezuma,2020,1214.0,21.0,1193.0,1843.0,699.0,147.0,98.0,2828.0,13.0,261.0,3256.0,108.0,1626.0,386.0
114,26039,Naco,2010,3243.0,388.0,2855.0,557.0,1116.0,561.0,2837.0,4469.0,226.0,493.0,4952.0,1027.0,3798.0,1828.0
115,26039,Naco,2015,1960.0,128.0,1832.0,1441.0,907.0,561.0,1207.0,3958.0,180.0,862.0,4633.0,590.0,2290.0,580.0
116,26039,Naco,2020,2942.0,467.0,2475.0,877.0,887.0,365.0,2238.0,3974.0,242.0,1238.0,4655.0,948.0,3560.0,1572.0
117,26040,Nácori Chico,2010,1205.0,226.0,979.0,123.0,667.0,204.0,619.0,1681.0,474.0,406.0,1864.0,590.0,1262.0,631.0
118,26040,Nácori Chico,2015,1280.0,195.0,1085.0,95.0,677.0,205.0,285.0,1669.0,460.0,275.0,1938.0,418.0,1344.0,698.0
119,26040,Nácori Chico,2020,914.0,165.0,749.0,106.0,463.0,111.0,482.0,1229.0,199.0,317.0,1467.0,333.0,973.0,524.0
120,26041,Nacozari de García,2010,2177.0,203.0,1974.0,4656.0,1263.0,1249.0,1253.0,2147.0,384.0,582.0,4185.0,649.0,3764.0,889.0
121,26041,Nacozari de García,2015,2193.0,123.0,2070.0,6859.0,1387.0,1959.0,700.0,2922.0,404.0,2311.0,6215.0,793.0,3081.0,525.0
122,26041,Nacozari de García,2020,2638.0,259.0,2379.0,6948.0,1463.0,1541.0,1059.0,3202.0,425.0,2167.0,5975.0,979.0,4147.0,915.0
123,26042,Navojoa,2010,78628.0,14870.0,63759.0,39911.0,24894.0,34539.0,32315.0,79494.0,67392.0,88892.0,136014.0,58181.0,87941.0,23043.0
124,26042,Navojoa,2015,60868.0,7075.0,53793.0,44678.0,21404.0,20724.0,17075.0,54726.0,42130.0,43431.0,104761.0,25884.0,79379.0,20340.0
125,26042,Navojoa,2020,74722.0,12824.0,61898.0,45479.0,24556.0,20630.0,25210.0,62530.0,61923.0,74287.0,128715.0,38904.0,92688.0,28867.0
126,26043,Nogales,2010,68429.0,10153.0,58276.0,69733.0,25521.0,20682.0,50381.0,84604.0,61737.0,36988.0,137778.0,40057.0,85030.0,21560.0
127,26043,Nogales,2015,59617.0,4349.0,55269.0,87323.0,25704.0,19133.0,36958.0,77517.0,26678.0,57501.0,144115.0,22997.0,77710.0,14455.0
128,26043,Nogales,2020,82816.0,6687.0,76130.0,89611.0,27433.0,23380.0,45282.0,90514.0,40610.0,39690.0,157530.0,23692.0,116410.0,28853.0
129,26044,Ónavas,2010,112.0,12.0,100.0,57.0,172.0,35.0,154.0,239.0,41.0,21.0,317.0,100.0,130.0,40.0
130,26044,Ónavas,2015,28.0,1.0,26.0,57.0,139.0,73.0,153.0,346.0,66.0,19.0,426.0,96.0,31.0,5.0
131,26044,Ónavas,2020,96.0,10.0,86.0,32.0,114.0,26.0,159.0,288.0,44.0,31.0,343.0,74.0,110.0,29.0
132,26045,Opodepe,2010,1328.0,286.0,1043.0,287.0,783.0,453.0,641.0,2065.0,761.0,999.0,2472.0,918.0,1433.0,603.0
133,26045,Opodepe,2015,823.0,107.0,716.0,393.0,704.0,340.0,397.0,1841.0,521.0,483.0,2297.0,523.0,880.0,274.0
134,26045,Opodepe,2020,929.0,167.0,761.0,437.0,569.0,258.0,691.0,1590.0,284.0,425.0,2020.0,466.0,1069.0,456.0
135,26046,Oquitoa,2010,74.0,6.0,69.0,92.0,87.0,39.0,128.0,285.0,35.0,104.0,332.0,93.0,89.0,22.0
136,26046,Oquitoa,2015,18.0,1.0,17.0,64.0,140.0,33.0,45.0,249.0,4.0,8.0,323.0,23.0,18.0,4.0
137,26046,Oquitoa,2020,125.0,16.0,109.0,92.0,75.0,32.0,226.0,373.0,17.0,46.0,423.0,56.0,138.0,53.0
138,26047,Pitiquito,2010,2668.0,359.0,2310.0,2125.0,1795.0,1488.0,1983.0,3756.0,452.0,1231.0,5180.0,1428.0,3591.0,1257.0
139,26047,Pitiquito,2015,2675.0,274.0,2401.0,3437.0,1900.0,1589.0,764.0,4117.0,587.0,1109.0,5730.0,1088.0,3397.0,918.0
140,26047,Pitiquito,2020,2857.0,544.0,2312.0,2818.0,1747.0,1208.0,1592.0,5071.0,1360.0,2297.0,6286.0,2056.0,3469.0,1079.0
141,26048,Puerto Peñasco,2010,22551.0,3306.0,19245.0,10770.0,7970.0,10168.0,15677.0,29368.0,4071.0,9405.0,38763.0,9086.0,27241.0,8016.0
142,26048,Puerto Peñasco,2015,25898.0,2558.0,23340.0,14595.0,9157.0,6527.0,10486.0,31982.0,2193.0,18707.0,44582.0,8118.0,31826.0,8581.0
143,26048,Puerto Peñasco,2020,24549.0,2644.0,21905.0,15299.0,10532.0,6863.0,18232.0,35068.0,2543.0,17582.0,47382.0,11328.0,29319.0,8301.0
144,26049,Quiriego,2010,1586.0,536.0,1050.0,158.0,1243.0,1155.0,1925.0,2557.0,1880.0,2125.0,3140.0,2240.0,1626.0,657.0
145,26049,Quiriego,2015,1806.0,427.0,1379.0,161.0,970.0,729.0,343.0,2212.0,1358.0,293.0,2695.0,925.0,1897.0,891.0
146,26049,Quiriego,2020,1808.0,609.0,1199.0,291.0,944.0,803.0,397.0,2019.0,1750.0,861.0,2859.0,1162.0,1949.0,1051.0
147,26050,Rayón,2010,594.0,64.0,531.0,179.0,489.0,167.0,545.0,1159.0,176.0,201.0,1381.0,331.0,632.0,216.0
148,26050,Rayón,2015,463.0,35.0,428.0,185.0,408.0,74.0,115.0,1072.0,99.0,273.0,1287.0,180.0,491.0,152.0
149,26050,Rayón,2020,611.0,66.0,545.0,196.0,414.0,124.0,176.0,1118.0,91.0,220.0,1335.0,167.0,673.0,279.0
150,26051,Rosario,2010,2645.0,613.0,2032.0,462.0,1697.0,1164.0,1251.0,3240.0,1946.0,1800.0,4217.0,2070.0,3064.0,1294.0
151,26051,Rosario,2015,2596.0,487.0,2109.0,728.0,1461.0,855.0,514.0,2888.0,1752.0,705.0,4013.0,1196.0,3078.0,1222.0
152,26051,Rosario,2020,1991.0,319.0,1672.0,708.0,1699.0,766.0,942.0,2767.0,1265.0,790.0,4155.0,1081.0,2272.0,790.0
153,26052,Sahuaripa,2010,2715.0,432.0,2283.0,677.0,1537.0,660.0,2440.0,3977.0,924.0,694.0,4734.0,1417.0,3244.0,1555.0
154,26052,Sahuaripa,2015,2348.0,266.0,2082.0,1003.0,1335.0,606.0,786.0,3769.0,552.0,798.0,4534.0,876.0,2660.0,835.0
155,26052,Sahuaripa,2020,2160.0,364.0,1795.0,897.0,1267.0,616.0,1464.0,3835.0,661.0,788.0,4451.0,1024.0,2411.0,912.0
156,26053,San Felipe de Jesús,2010,99.0,5.0,94.0,120.0,49.0,39.0,39.0,207.0,11.0,43.0,246.0,34.0,127.0,36.0
157,26053,San Felipe de Jesús,2015,18.0,0.0,18.0,123.0,82.0,27.0,53.0,189.0,4.0,33.0,298.0,7.0,20.0,4.0
158,26053,San Felipe de Jesús,2020,66.0,1.0,65.0,131.0,45.0,7.0,33.0,193.0,3.0,31.0,239.0,6.0,88.0,26.0
159,26054,San Javier,2010,25.0,3.0,22.0,76.0,112.0,108.0,294.0,339.0,145.0,0.0,404.0,167.0,28.0,7.0
160,26054,San Javier,2015,34.0,2.0,32.0,88.0,134.0,155.0,94.0,340.0,137.0,27.0,488.0,101.0,37.0,7.0
161,26054,San Javier,2020,133.0,12.0,121.0,97.0,104.0,139.0,121.0,367.0,30.0,44.0,456.0,77.0,152.0,40.0
162,26055,San Luis Río Colorado,2010,63454.0,8024.0,55430.0,34588.0,27803.0,18121.0,68595.0,104511.0,15485.0,22268.0,126830.0,29879.0,73788.0,20679.0
163,26055,San Luis Río Colorado,2015,81548.0,9208.0,72340.0,39449.0,32326.0,20169.0,54313.0,108010.0,15130.0,53891.0,147488.0,34640.0,96984.0,26447.0
164,26055,San Luis Río Colorado,2020,84298.0,9769.0,74529.0,37877.0,33555.0,23223.0,60951.0,116221.0,10719.0,36657.0,149120.0,31075.0,100973.0,32578.0
165,26056,San Miguel de Horcasitas,2010,4816.0,1895.0,2921.0,313.0,3167.0,3380.0,3623.0,6449.0,2968.0,4841.0,7269.0,4798.0,4968.0,2374.0
166,26056,San Miguel de Horcasitas,2015,4570.0,981.0,3589.0,473.0,3741.0,3735.0,2153.0,8264.0,4027.0,2778.0,8848.0,4757.0,4690.0,1421.0
167,26056,San Miguel de Horcasitas,2020,7790.0,2331.0,5459.0,548.0,5243.0,5020.0,7715.0,11249.0,4411.0,4062.0,12256.0,7625.0,8044.0,3166.0
168,26057,San Pedro de la Cueva,2010,464.0,49.0,415.0,182.0,467.0,84.0,594.0,1052.0,544.0,127.0,1379.0,393.0,504.0,176.0
169,26057,San Pedro de la Cueva,2015,275.0,25.0,250.0,237.0,411.0,94.0,181.0,949.0,456.0,115.0,1283.0,231.0,295.0,84.0
170,26057,San Pedro de la Cueva,2020,547.0,79.0,467.0,193.0,393.0,199.0,489.0,989.0,272.0,92.0,1291.0,304.0,616.0,262.0
171,26058,Santa Ana,2010,5226.0,324.0,4901.0,3152.0,2125.0,1419.0,3516.0,8945.0,1363.0,1165.0,10545.0,1611.0,6474.0,1672.0
172,26058,Santa Ana,2015,4313.0,223.0,4090.0,5090.0,2285.0,926.0,1189.0,8353.0,776.0,2906.0,10673.0,1275.0,5391.0,1024.0
173,26058,Santa Ana,2020,4456.0,282.0,4174.0,4580.0,2168.0,919.0,3098.0,7705.0,547.0,3520.0,10375.0,1658.0,5839.0,1499.0
174,26059,Santa Cruz,2010,586.0,68.0,519.0,132.0,364.0,182.0,1036.0,1607.0,371.0,232.0,1788.0,510.0,611.0,191.0
175,26059,Santa Cruz,2015,643.0,54.0,589.0,263.0,304.0,138.0,261.0,1381.0,115.0,145.0,1509.0,185.0,704.0,238.0
